id,name,sanskrit_name,level,type,benefits,duration,double_sided
20774f2e-1093-11eb-adc1-0242ac120002,Archer’s Pose,Akarna Dhanurasana,Advanced,Seated,Improves focus and memory Deep stretches the arms and legs Good for flat feet and sciatica,1,TRUE
207751ea-1093-11eb-adc1-0242ac120002,Bharadvaja’s Twist,Bharadvajasana,Intermediate,Seated,Tones waist and improves BMR Relaxes spine and neck Opens chest cavity for Pranayama,1,TRUE
207752f8-1093-11eb-adc1-0242ac120002,Bridge Pose,Setu Bandhasana,Easy,Supine,Strengthens neck and shoulders Massages abdominal organs and kidneys Tones lower back and calves,1,FALSE
207753d4-1093-11eb-adc1-0242ac120002,Big Toe Pose,Padangusthasana,Intermediate,Standing,Ideal for women who are trying to get pregnant Improves digestion Relieves headache,1,FALSE
20775690-1093-11eb-adc1-0242ac120002,Bound Angle Pose,Baddha Konasana,Easy,Seated,Great hip opener and posture corrector Stretches and relaxes shoulders and lower back Relieves from neck pain and anxiety,1,FALSE
2077576c-1093-11eb-adc1-0242ac120002,Bound Angle Headstand Pose,Baddha Kona Sirsasana,Advanced,Balance,"Relieves from depression, stress and anxiety Strengthens arms, wrists and shoulders Improves flexibility and balance",1.5,FALSE
2077582a-1093-11eb-adc1-0242ac120002,Bow Pose,Dhanurasana,Intermediate,Prone,"Tones lower back, thighs and buttocks Stretches quads, ankles and forearms Opens chest cavity and strengthens lungs",1,FALSE
207758f2-1093-11eb-adc1-0242ac120002,Bridge Pose on Elbows,Dvapada Dhanurasana,Intermediate,Supine,"Beneficial in stress, depression and anxiety Improves neck and spine health Enhances memory and focus",1,FALSE
207759ba-1093-11eb-adc1-0242ac120002,Camel Pose,Ustrasana,Intermediate,Seated,Strengthens knees and back Enhances balance and flexibility Improves concentration,1,FALSE
20775a82-1093-11eb-adc1-0242ac120002,Chair Pose,Utkatasana,Easy,Standing,Improves posture and balance Tones abdomen and thighs Great for athletes and runners,0.5,FALSE
20775b40-1093-11eb-adc1-0242ac120002,Child Pose,Balasana,Easy,Seated,"Great for stress, depression, and anxiety Relaxes upper back, neck and arms Helps sleep better at night",1,FALSE
20775c08-1093-11eb-adc1-0242ac120002,Cobra Pose,Bhujangasana,Intermediate,Prone,Improves focus and retention Enhances cardiovascular capacity Tones abdomen and lower back,1,FALSE
20775e7e-1093-11eb-adc1-0242ac120002,Compass Pose,Parivrtta Surya Yantrasana,Advanced,Seated,Improves digestion Provides relief in respiratory disorders Develops patience,1,TRUE
20775f46-1093-11eb-adc1-0242ac120002,Corpse Pose,Savasana,Easy,Supine,Ideal pose for Yoga Nidra and abdominal breathing Helps rejuvenate mentally and physically Best restorative/follow up pose,3,FALSE
2077600e-1093-11eb-adc1-0242ac120002,Cow Face Pose,Gomukhasana,Intermediate,Seated,Improves back flexibility and stretches shoulders Enhances lung capacity Opens up hips and corrects seated posture,1,TRUE
207760cc-1093-11eb-adc1-0242ac120002,Crane / Crow Pose,Bakasana,Intermediate,Balance,Enhances arm and shoulders strength Great for spine and neck Improves digestion and balances hormones,1,FALSE
2077618a-1093-11eb-adc1-0242ac120002,Crocodile Pose,Makarasana,Easy,Prone,Greatly centers anxious and depressed mind Restores energy and rejuvenates physically Good for flat feet,2,FALSE
20776248-1093-11eb-adc1-0242ac120002,Dove Pose,Vajra Kapotasana,Advanced,Seated,Increases blood circulation in spine and head Strengthens shoulders and knees Stretches quadriceps and chest muscles,2,FALSE
20776306-1093-11eb-adc1-0242ac120002,Eagle Pose,Garudasana,Intermediate,Standing,"Great for balance Good for respiratory problems Tones calves, thighs and arms",1,TRUE
20776590-1093-11eb-adc1-0242ac120002,Easy Pose,Sukhasana,Easy,Seated,Stretches and tones inner thighs and ankles Improves posture and ideal for Pranayama Good for flat feet,1,FALSE
2077666c-1093-11eb-adc1-0242ac120002,Garland Pose,Malasana,Intermediate,Seated,Massages abdominal organs and improves digestion Tones calves and hips Strengthens ankles and improves balance,1,FALSE
20776734-1093-11eb-adc1-0242ac120002,Extended Hand to Big Toe Pose,Utthita Hasta Padangustasana,Intermediate,Standing,Improves balance and focus Stimulates urinary and reproductive organs Beneficial in weight loss,2,TRUE
207767f2-1093-11eb-adc1-0242ac120002,Extended Puppy Pose,Uttana Shishosana,Easy,Seated,Stretches and relaxes arms and upper back Aids in weight and fat loss Rejuvenates stressed mind and body,1,FALSE
207768b0-1093-11eb-adc1-0242ac120002,Extended Side Angle Pose,Utthita Parsvokonasana,Easy,Standing,Great pose for athletes and dancers Improves body alignments and mental focus Opens hips and strengthens ankles,2,TRUE
2077696e-1093-11eb-adc1-0242ac120002,Feathered Peacock Pose,Pinch Mayurasana,Advanced,Balance,"Strengthens arms, shoulders and chest Tones back and buttocks Great for anxiety and stress",2,FALSE
20776a2c-1093-11eb-adc1-0242ac120002,Firefly Pose,Tittibhasana,Advanced,Balance,Improves wrist strength and hand grip Tones back of thighs and abdomen Enhances balance and focus,1,FALSE
20776af4-1093-11eb-adc1-0242ac120002,Fish out of Hero Pose,Matsyendra Virasana,Intermediate,Seated,Deep stretches thighs and lower abdomen Induces feeling of happiness and calms mind Relieves from upper back pain,1,FALSE
20776d56-1093-11eb-adc1-0242ac120002,Fish Pose,Matsyasana,Easy,Seated,"Stimulates abdominal and reproductive organs Enhances lung capacity Stretches thighs, knee and abdomen",1,FALSE
20776e1e-1093-11eb-adc1-0242ac120002,Four Limbed Staff Pose,Chaturanga Dandasana,Intermediate,Prone,"Strengthens toes and fingers Tones upper back, hips and chest Works great on balance and arm strength",0.5,FALSE
20776edc-1093-11eb-adc1-0242ac120002,Frog Pose,Bhekasana,Advanced,Prone,Improves reproductive health Relieves from back pain and digestive issues Strengthens arms and knees,0.5,FALSE
20776f90-1093-11eb-adc1-0242ac120002,Full Boat Pose,Navasana,Intermediate,Seated,"Helps get rid of belly fat Improves digestion Tones back, thighs, and arms",0.5,FALSE
20777044-1093-11eb-adc1-0242ac120002,Gate Pose,Parighasana,Intermediate,Seated,Strengthens knees and toes Deep stretches abdomen and thighs Balances metabolism and aids in fat loss,1,TRUE
20777102-1093-11eb-adc1-0242ac120002,Half Boat Pose`,Ardha Navasana,Easy,Seated,Strengthens knees and arms Improves balance and focus Tones abdominal muscles,0.5,FALSE
207771ca-1093-11eb-adc1-0242ac120002,Half Bound Lotus Standing Pose,Ardha Baddha Padmottanasana,Intermediate,Standing,Great stretch for Achilles’ tendon and hamstrings Beneficial in hormonal imbalances Strengthens arms and legs,1,TRUE
20777288-1093-11eb-adc1-0242ac120002,Half Bow Pose,Ardha Dhanurasana,Intermediate,Prone,Improves balance and limb strength Increases joint health Deep stretches abdomen and thighs,0.5,TRUE
2077751c-1093-11eb-adc1-0242ac120002,Full Pigeon Pose,Purna Kapotasana,Advanced,Seated,"Deep stretches abdomen Beneficial in thyroid disorders Tones hips, calves and arms",1,FALSE
207775e4-1093-11eb-adc1-0242ac120002,Dolphin Pose,,Intermediate,Standing,Brings relief to asthma patients Stress-reliever Prevents osteoporosis,1,FALSE
207776a2-1093-11eb-adc1-0242ac120002,Double Pigeon Pose,Agni Stambhasana,Intermediate,Seated,Corrects seated posture Good pose to practice abdominal breathing Strengthens toes and feet,2,TRUE
